Statistik från Skolverket, http://www.skolverket.se

Grundskolan - Slutbetyg årskurs 9, uppdelat per kön
Valt läsår: 2016/17

;;Samtliga elever;Samtliga elever;Samtliga elever;Samtliga elever;Flickor;Flickor;Flickor;Flickor;Flickor;Pojkar;Pojkar;Pojkar;Pojkar;Pojkar;
Jönköping;Samtliga;1 455;75,9;83,6;225,2;721;49,6;80,4;87,1;243,4;734;50,4;71,4;80,2;207,2;
Jönköping;Kommunal;1 175;75,1;83,4;221,5;575;48,9;80,7;87,1;240,5;600;51,1;69,8;79,8;203,3;
Jönköping;Enskild;280;78,9;84,6;241,3;146;52,1;79,5;87,0;254,5;134;47,9;78,4;82,1;226,1;
Kalix;Samtliga;178;71,9;83,1;212,9;102;57,3;78,4;85,3;236,6;76;42,7;63,2;80,3;181,5;
Kalix;Kommunal;170;71,8;83,5;213,7;97;57,1;79,4;86,6;240,6;73;42,9;61,6;79,5;178,1;
Kalix;Enskild;..;..;..;..;..;..;..;..;..;..;..;..;..;..;
Kalmar;Samtliga;695;80,4;85,9;225,2;316;45,5;84,8;90,8;244,4;379;54,5;76,8;81,8;208,9;
Kalmar;Kommunal;567;78,5;84,3;221,8;246;43,4;83,3;89,4;241,3;321;56,6;74,8;80,4;206,6;
Kalmar;Enskild;128;89,1;93,0;240,5;70;54,7;90,0;~100;255,5;58;45,3;87,9;89,7;222,1;
Karlsborg;Samtliga;52;88,5;~100;234,1;26;50,0;92,3;100,0;251,4;26;50,0;84,6;~100;216,8;
Karlsborg;Kommunal;52;88,5;~100;234,1;26;50,0;92,3;100,0;251,4;26;50,0;84,6;~100;216,8;
Karlshamn;Samtliga;347;63,7;70,3;200,7;155;44,7;72,3;76,1;226,2;192;55,3;56,8;65,6;180,3;
Karlshamn;Kommunal;315;60,6;67,9;197,4;143;45,4;69,9;74,1;224,4;172;54,6;52,9;62,8;175,2;
Karlshamn;Enskild;32;93,8;~100;232,6;12;37,5;100,0;100,0;246,9;20;62,5;90,0;~100;224,0;
Karlskoga;Samtliga;343;66,8;72,6;209,2;157;45,8;74,5;77,7;234,7;186;54,2;60,2;68,3;188,4;
Karlskoga;Kommunal;343;66,8;72,6;209,2;157;45,8;74,5;77,7;234,7;186;54,2;60,2;68,3;188,4;
Karlskrona;Samtliga;710;76,2;82,4;219,1;338;47,6;82,8;87,9;236,6;372;52,4;70,2;77,4;202,8;
Karlskrona;Kommunal;504;71,0;77,8;209,4;240;47,6;78,8;84,6;226,3;264;52,4;64,0;71,6;193,4;
Karlskrona;Enskild;206;88,8;93,7;242,8;98;47,6;92,9;~100;262,0;108;52,4;85,2;91,7;225,2;
Karlstad;Samtliga;920;81,5;87,6;230,5;458;49,8;81,9;87,8;246,0;462;50,2;81,2;87,4;215,0;
Karlstad;Kommunal;753;78,8;85,0;220,9;377;50,1;79,0;85,1;237,3;376;49,9;78,5;84,8;204,5;
Karlstad;Enskild;167;94,0;~100;273,0;81;48,5;95,1;100,0;286,3;86;51,5;93,0;~100;260,4;
Katrineholm;Samtliga;441;69,2;79,4;207,0;216;49,0;76,4;84,3;226,1;225;51,0;62,2;74,7;188,6;
Katrineholm;Kommunal;375;65,9;77,3;201,1;176;46,9;73,9;82,4;221,3;199;53,1;58,8;72,9;183,3;
Katrineholm;Enskild;66;87,9;90,9;239,7;40;60,6;87,5;~100;246,9;26;39,4;88,5;~100;228,7;
Kil;Samtliga;135;70,4;88,9;206,4;53;39,3;69,8;90,6;216,8;82;60,7;70,7;87,8;199,7;
Kil;Kommunal;135;70,4;88,9;206,4;53;39,3;69,8;90,6;216,8;82;60,7;70,7;87,8;199,7;
Kinda;Samtliga;88;86,4;89,8;230,0;52;59,1;86,5;88,5;233,0;36;40,9;86,1;~100;225,6;
Kinda;Kommunal;88;86,4;89,8;230,0;52;59,1;86,5;88,5;233,0;36;40,9;86,1;~100;225,6;
Kiruna;Samtliga;264;74,6;84,8;222,8;127;48,1;74,0;84,3;231,8;137;51,9;75,2;85,4;214,5;
Kiruna;Kommunal;242;73,1;83,9;219,5;118;48,8;72,0;83,1;227,8;124;51,2;74,2;84,7;211,5;
Kiruna;Enskild;22;90,9;~100;259,1;..;..;..;..;..;..;..;84,6;~100;242,7;
Klippan;Samtliga;211;61,6;70,1;203,3;115;54,5;67,8;73,9;220,5;96;45,5;54,2;65,6;182,1;
Klippan;Kommunal;175;64,6;71,4;204,8;93;53,1;68,8;73,1;220,8;82;46,9;59,8;69,5;186,3;
Klippan;Enskild;36;47,2;63,9;195,8;22;61,1;63,6;77,3;219,4;14;38,9;..;..;154,4;
Knivsta;Samtliga;190;81,6;86,8;234,9;85;44,7;80,0;85,9;241,1;105;55,3;82,9;87,6;230,0;
Knivsta;Kommunal;180;81,7;87,2;236,2;83;46,1;80,7;86,7;242,1;97;53,9;82,5;87,6;231,1;
Knivsta;Enskild;10;..;..;213,3;..;..;..;..;..;..;..;..;..;..;
Kramfors;Samtliga;195;68,2;80,5;211,4;81;41,5;74,1;86,4;236,3;114;58,5;64,0;76,3;193,8;
Kramfors;Kommunal;195;68,2;80,5;211,4;81;41,5;74,1;86,4;236,3;114;58,5;64,0;76,3;193,8;
Kristianstad;Samtliga;988;69,6;78,3;214,1;430;43,5;75,1;83,3;233,1;558;56,5;65,4;74,6;199,3;
Kristianstad;Kommunal;894;68,7;77,3;213,0;382;42,7;74,6;82,7;233,4;512;57,3;64,3;73,2;197,6;
Kristianstad;Enskild;94;78,7;88,3;224,4;48;51,1;79,2;87,5;230,4;46;48,9;78,3;89,1;218,3;
Kristinehamn;Samtliga;262;65,6;76,0;203,2;109;41,6;75,2;83,5;227,9;153;58,4;58,8;70,6;185,4;
Kristinehamn;Kommunal;262;65,6;76,0;203,2;109;41,6;75,2;83,5;227,9;153;58,4;58,8;70,6;185,4;
Krokom;Samtliga;188;77,7;82,4;218,7;106;56,4;80,2;86,8;228,8;82;43,6;74,4;76,8;205,6;
Krokom;Kommunal;188;77,7;82,4;218,7;106;56,4;80,2;86,8;228,8;82;43,6;74,4;76,8;205,6;
Kumla;Samtliga;254;65,4;76,4;213,5;112;44,1;68,8;80,4;229,1;142;55,9;62,7;73,2;200,8;
Kumla;Kommunal;254;65,4;76,4;213,5;112;44,1;68,8;80,4;229,1;142;55,9;62,7;73,2;200,8;
Kungsbacka;Samtliga;1 105;80,7;87,3;231,6;497;45,0;87,5;94,2;249,9;608;55,0;75,2;81,7;216,5;
Kungsbacka;Kommunal;1 011;79,3;86,3;228,8;448;44,3;86,8;93,5;248,1;563;55,7;73,4;80,5;213,2;
Kungsbacka;Enskild;94;95,7;~100;261,8;49;52,1;93,9;100,0;265,9;45;47,9;97,8;~100;257,3;
Kungsör;Samtliga;103;69,9;81,6;213,6;44;42,7;77,3;88,6;221,6;59;57,3;64,4;76,3;207,1;
Kungsör;Kommunal;103;69,9;81,6;213,6;44;42,7;77,3;88,6;221,6;59;57,3;64,4;76,3;207,1;
Kungälv;Samtliga;495;82,2;87,9;235,1;231;46,7;83,1;89,6;247,0;264;53,3;81,4;86,4;224,9;
Kungälv;Kommunal;423;82,3;87,9;233,7;190;44,9;83,7;90,0;247,7;233;55,1;81,1;86,3;222,4;
Kungälv;Enskild;72;81,9;87,5;243,4;41;56,9;80,5;87,8;243,4;31;43,1;83,9;~100;243,3;
Kävlinge;Samtliga;342;81,9;89,2;232,2;177;51,8;82,5;89,8;244,8;165;48,2;81,2;88,5;218,9;
Kävlinge;Kommunal;288;81,3;88,5;231,2;143;49,7;83,2;90,2;246,8;145;50,3;79,3;86,9;216,0;
Kävlinge;Enskild;54;85,2;~100;237,5;34;63,0;79,4;~100;236,1;20;37,0;95,0;100,0;239,8;
Köping;Samtliga;258;70,2;88,8;208,9;124;48,1;73,4;90,3;219,3;134;51,9;67,2;87,3;199,2;
Köping;Kommunal;258;70,2;88,8;208,9;124;48,1;73,4;90,3;219,3;134;51,9;67,2;87,3;199,2;
Laholm;Samtliga;277;67,9;77,6;211,5;125;45,1;72,8;81,6;227,7;152;54,9;63,8;74,3;198,2;
Laholm;Kommunal;277;67,9;77,6;211,5;125;45,1;72,8;81,6;227,7;152;54,9;63,8;74,3;198,2;
Landskrona;Samtliga;503;70,0;78,9;224,0;235;46,7;75,7;84,3;247,2;268;53,3;64,9;74,3;203,4;
Landskrona;Kommunal;386;65,8;76,7;217,5;181;46,9;71,3;81,8;239,8;205;53,1;61,0;72,2;197,5;
Landskrona;Enskild;117;83,8;86,3;245,2;54;46,2;90,7;~100;272,2;63;53,8;77,8;81,0;222,1;
Laxå;Samtliga;67;50,7;64,2;163,8;35;52,2;62,9;74,3;192,6;32;47,8;37,5;53,1;132,3;
Laxå;Kommunal;67;50,7;64,2;163,8;35;52,2;62,9;74,3;192,6;32;47,8;37,5;53,1;132,3;
Lekeberg;Samtliga;64;92,2;92,2;224,4;27;42,2;100,0;100,0;255,9;37;57,8;86,5;86,5;201,4;
Lekeberg;Kommunal;64;92,2;92,2;224,4;27;42,2;100,0;100,0;255,9;37;57,8;86,5;86,5;201,4;
Leksand;Samtliga;162;75,3;82,1;222,7;74;45,7;77,0;86,5;239,3;88;54,3;73,9;78,4;208,4;
Leksand;Kommunal;158;75,3;81,6;222,1;71;44,9;77,5;85,9;239,2;87;55,1;73,6;78,2;207,8;
Leksand;Enskild;..;..;..;..;..;..;..;..;..;..;..;..;..;..;
Lerum;Samtliga;563;76,4;83,5;221,8;248;44,0;82,7;88,7;243,6;315;56,0;71,4;79,4;204,8;
Lerum;Kommunal;535;75,7;82,6;219,9;230;43,0;82,6;87,8;242,7;305;57,0;70,5;78,7;202,8;
Lerum;Enskild;28;89,3;100,0;257,5;18;64,3;83,3;100,0;253,9;10;35,7;100,0;100,0;264,0;
Lessebo;Samtliga;111;56,8;64,0;189,7;53;47,7;73,6;75,5;209,6;58;52,3;41,4;53,4;169,9;
Lessebo;Kommunal;111;56,8;64,0;189,7;53;47,7;73,6;75,5;209,6;58;52,3;41,4;53,4;169,9;
Lidingö;Samtliga;516;93,6;96,1;266,8;261;50,6;93,5;95,0;275,3;255;49,4;93,7;97,3;258,0;
Lidingö;Kommunal;400;93,8;96,0;266,1;200;50,0;93,0;95,0;274,1;200;50,0;94,5;97,0;258,0;
Lidingö;Enskild;116;93,1;~100;269,2;61;52,6;95,1;~100;279,3;55;47,4;90,9;~100;258,1;
Lidköping;Samtliga;457;76,1;82,9;215,2;203;44,4;83,7;91,6;240,4;254;55,6;70,1;76,0;194,4;
Lidköping;Kommunal;421;74,1;81,5;211,9;182;43,2;81,9;90,7;238,3;239;56,8;68,2;74,5;191,2;
Lidköping;Enskild;36;100,0;100,0;252,2;21;58,3;100,0;100,0;258,1;15;41,7;100,0;100,0;244,0;
Lilla Edet;Samtliga;115;60,9;72,2;184,6;47;40,9;70,2;85,1;211,4;68;59,1;54,4;63,2;165,6;
Lilla Edet;Kommunal;102;57,8;69,6;179,2;42;41,2;66,7;83,3;205,7;60;58,8;51,7;60,0;160,2;
Lilla Edet;Enskild;13;84,6;~100;224,8;..;..;..;..;..;..;..;..;..;..;
Lindesberg;Samtliga;242;63,6;70,7;200,7;123;50,8;63,4;72,4;212,8;119;49,2;63,9;68,9;188,2;
Lindesberg;Kommunal;242;63,6;70,7;200,7;123;50,8;63,4;72,4;212,8;119;49,2;63,9;68,9;188,2;
Linköping;Samtliga;1 669;75,6;82,9;225,2;794;47,6;81,4;87,4;242,9;875;52,4;70,4;78,7;209,1;
Linköping;Kommunal;1 206;71,8;78,8;218,1;570;47,3;77,2;84,4;237,1;636;52,7;67,0;73,7;201,1;
Linköping;Enskild;463;85,5;93,5;243,6;224;48,4;92,0;95,1;257,3;239;51,6;79,5;92,1;230,6;
Ljungby;Samtliga;315;69,5;78,4;212,2;150;47,6;82,7;87,3;243,8;165;52,4;57,6;70,3;183,1;
Ljungby;Kommunal;307;69,4;78,2;212,1;146;47,6;82,2;87,0;243,7;161;52,4;57,8;70,2;183,1;
Ljungby;Enskild;..;..;..;..;..;..;..;..;..;..;..;..;..;..;
Ljusdal;Samtliga;199;73,4;80,9;226,6;87;43,7;81,6;88,5;245,8;112;56,3;67,0;75,0;211,4;
Ljusdal;Kommunal;166;71,1;80,1;224,7;67;40,4;77,6;86,6;245,3;99;59,6;66,7;75,8;210,5;
Ljusdal;Enskild;33;84,8;84,8;235,8;20;60,6;95,0;~100;247,4;13;39,4;..;..;217,9;
Ljusnarsberg;Samtliga;50;54,0;72,0;189,9;23;46,0;52,2;78,3;195,5;27;54,0;55,6;66,7;185,1;
Ljusnarsberg;Kommunal;50;54,0;72,0;189,9;23;46,0;52,2;78,3;195,5;27;54,0;55,6;66,7;185,1;
Lomma;Samtliga;301;90,0;93,4;253,6;139;46,2;92,8;96,4;268,9;162;53,8;87,7;90,7;240,5;
Lomma;Kommunal;283;90,1;93,3;253,2;127;44,9;93,7;~100;271,5;156;55,1;87,2;90,4;238,3;
Lomma;Enskild;18;88,9;~100;260,4;..;..;83,3;~100;242,1;..;..;..;..;..;
Ludvika;Samtliga;279;66,7;76,3;192,6;128;45,9;78,1;85,9;224,9;151;54,1;57,0;68,2;164,6;
Ludvika;Kommunal;279;66,7;76,3;192,6;128;45,9;78,1;85,9;224,9;151;54,1;57,0;68,2;164,6;
Luleå;Samtliga;769;82,3;88,0;232,0;388;50,5;85,3;90,2;248,0;381;49,5;79,3;85,8;215,7;
Luleå;Kommunal;666;81,1;87,1;230,0;337;50,6;84,0;89,0;246,1;329;49,4;78,1;85,1;213,6;
Luleå;Enskild;103;90,3;94,2;244,3;51;49,5;94,1;~100;260,1;52;50,5;86,5;90,4;228,9;
Lund;Samtliga;1 263;87,6;92,7;253,4;609;48,2;89,8;94,5;268,1;654;51,8;85,5;90,9;239,7;
Lund;Kommunal;1 010;87,3;92,4;251,7;464;45,9;91,2;95,4;268,9;546;54,1;84,0;89,8;236,9;
Lund;Enskild;253;88,5;93,7;260,2;145;57,3;85,5;91,7;265,6;108;42,7;92,6;~100;253,0;
Lycksele;Samtliga;134;72,4;90,3;204,9;65;48,5;73,8;89,2;218,6;69;51,5;71,0;91,3;192,3;
Lycksele;Kommunal;134;72,4;90,3;204,9;65;48,5;73,8;89,2;218,6;69;51,5;71,0;91,3;192,3;
Lysekil;Samtliga;166;68,1;80,1;214,0;90;54,2;77,8;86,7;243,4;76;45,8;56,6;72,4;179,0;
Lysekil;Kommunal;166;68,1;80,1;214,0;90;54,2;77,8;86,7;243,4;76;45,8;56,6;72,4;179,0;
Malmö;Samtliga;2 845;65,7;76,3;221,4;1 384;48,6;68,4;79,5;233,8;1 461;51,4;63,1;73,2;209,3;
Malmö;Kommunal;2 321;61,8;73,1;214,8;1 118;48,2;64,8;76,8;228,1;1 203;51,8;59,0;69,6;202,2;
Malmö;Enskild;524;84,4;92,0;253,5;266;50,8;84,3;91,6;259,4;258;49,2;84,5;92,5;246,9;
Malung-Sälen;Samtliga;97;88,7;91,8;232,9;41;42,3;90,2;~100;242,9;56;57,7;87,5;89,3;225,7;
Malung-Sälen;Kommunal;97;88,7;91,8;232,9;41;42,3;90,2;~100;242,9;56;57,7;87,5;89,3;225,7;
Malå;Samtliga;39;64,1;69,2;195,3;20;51,3;60,0;70,0;209,8;19;48,7;68,4;68,4;179,3;
Malå;Kommunal;39;64,1;69,2;195,3;20;51,3;60,0;70,0;209,8;19;48,7;68,4;68,4;179,3;
Mariestad;Samtliga;259;73,0;81,9;215,8;120;46,3;84,2;89,2;238,7;139;53,7;63,3;75,5;195,6;
Mariestad;Kommunal;197;68,0;78,7;207,5;91;46,2;81,3;86,8;233,9;106;53,8;56,6;71,7;184,3;
Mariestad;Enskild;62;88,7;91,9;242,9;29;46,8;93,1;~100;254,0;33;53,2;84,8;~100;232,8;
Mark;Samtliga;445;69,7;79,3;208,0;180;40,4;76,7;85,6;229,1;265;59,6;64,9;75,1;193,3;
Mark;Kommunal;425;68,7;78,4;206,7;168;39,5;76,2;84,5;228,2;257;60,5;63,8;74,3;192,3;
Mark;Enskild;20;90,0;100,0;234,6;..;..;83,3;100,0;241,7;..;..;..;..;..;
Markaryd;Samtliga;123;66,7;72,4;206,9;57;46,3;78,9;86,0;241,4;66;53,7;56,1;60,6;176,8;
Markaryd;Kommunal;123;66,7;72,4;206,9;57;46,3;78,9;86,0;241,4;66;53,7;56,1;60,6;176,8;
Mellerud;Samtliga;92;64,1;72,8;207,6;41;44,6;65,9;70,7;222,6;51;55,4;62,7;74,5;194,7;
Mellerud;Kommunal;92;64,1;72,8;207,6;41;44,6;65,9;70,7;222,6;51;55,4;62,7;74,5;194,7;
Mjölby;Samtliga;257;72,0;79,8;212,2;123;47,9;73,2;81,3;222,7;134;52,1;70,9;78,4;202,6;
Mjölby;Kommunal;257;72,0;79,8;212,2;123;47,9;73,2;81,3;222,7;134;52,1;70,9;78,4;202,6;
Mora;Samtliga;202;72,8;77,2;206,5;88;43,6;77,3;81,8;227,3;114;56,4;69,3;73,7;190,1;
Mora;Kommunal;202;72,8;77,2;206,5;88;43,6;77,3;81,8;227,3;114;56,4;69,3;73,7;190,1;
Motala;Samtliga;451;72,5;81,8;214,6;218;48,3;78,9;86,7;228,6;233;51,7;66,5;77,3;201,5;
Motala;Kommunal;370;70,3;79,5;212,8;167;45,1;76,6;84,4;228,3;203;54,9;65,0;75,4;199,9;
Motala;Enskild;81;82,7;92,6;223,1;51;63,0;86,3;~100;229,4;30;37,0;76,7;~100;212,3;
Mullsjö;Samtliga;72;83,3;87,5;212,4;33;45,8;97,0;~100;241,1;39;54,2;71,8;79,5;188,1;
Mullsjö;Kommunal;72;83,3;87,5;212,4;33;45,8;97,0;~100;241,1;39;54,2;71,8;79,5;188,1;
Munkedal;Samtliga;115;59,1;71,3;187,2;45;39,1;66,7;75,6;202,6;70;60,9;54,3;68,6;177,5;
Munkedal;Kommunal;115;59,1;71,3;187,2;45;39,1;66,7;75,6;202,6;70;60,9;54,3;68,6;177,5;
Munkfors;Samtliga;40;65,0;75,0;204,0;19;47,5;68,4;73,7;220,6;21;52,5;61,9;76,2;189,9;
Munkfors;Kommunal;40;65,0;75,0;204,0;19;47,5;68,4;73,7;220,6;21;52,5;61,9;76,2;189,9;
Mölndal;Samtliga;666;80,5;87,8;232,5;304;45,6;85,9;90,1;249,9;362;54,4;76,0;85,9;217,7;
Mölndal;Kommunal;587;79,9;86,7;231,4;264;45,0;86,0;89,0;250,1;323;55,0;74,9;84,8;215,9;
Mölndal;Enskild;79;84,8;~100;240,6;40;50,6;85,0;~100;248,6;39;49,4;84,6;~100;232,3;
Mönsterås;Samtliga;153;58,2;68,6;195,0;70;45,8;68,6;74,3;213,9;83;54,2;49,4;63,9;177,1;
Mönsterås;Kommunal;153;58,2;68,6;195,0;70;45,8;68,6;74,3;213,9;83;54,2;49,4;63,9;177,1;
Mörbylånga;Samtliga;172;83,1;90,1;213,8;81;47,1;91,4;~100;228,5;91;52,9;75,8;85,7;200,3;
Mörbylånga;Kommunal;133;78,2;87,2;209,7;65;48,9;89,2;~100;230,3;68;51,1;67,6;80,9;189,0;
Mörbylånga;Enskild;39;100,0;100,0;227,6;16;41,0;100,0;100,0;220,9;23;59,0;100,0;100,0;232,3;
Nacka;Samtliga;1 261;89,7;94,0;266,3;606;48,1;91,6;95,5;277,5;655;51,9;87,9;92,5;256,0;
Nacka;Kommunal;810;89,5;94,3;264,7;400;49,4;91,0;95,0;273,0;410;50,6;88,0;93,7;256,7;
Nacka;Enskild;451;90,0;93,3;269,4;206;45,7;92,7;96,6;286,3;245;54,3;87,8;90,6;255,0;
Nora;Samtliga;114;66,7;86,0;200,4;57;50,0;70,2;82,5;216,3;57;50,0;63,2;89,5;185,9;
Nora;Kommunal;114;66,7;86,0;200,4;57;50,0;70,2;82,5;216,3;57;50,0;63,2;89,5;185,9;
Norberg;Samtliga;69;50,7;56,5;163,8;30;43,5;56,7;63,3;186,9;39;56,5;46,2;51,3;145,0;
Norberg;Kommunal;69;50,7;56,5;163,8;30;43,5;56,7;63,3;186,9;39;56,5;46,2;51,3;145,0;
Nordanstig;Samtliga;68;45,6;76,5;162,5;24;35,3;54,2;79,2;176,1;44;64,7;40,9;75,0;154,9;
Nordanstig;Kommunal;62;43,5;74,2;158,8;24;38,7;54,2;79,2;176,1;38;61,3;36,8;71,1;147,5;
Nordanstig;Enskild;..;..;..;..;..;..;.;.;.;..;..;..;..;..;
Nordmaling;Samtliga;76;73,7;78,9;210,7;31;40,8;80,6;~100;230,0;45;59,2;68,9;73,3;197,2;
Nordmaling;Kommunal;76;73,7;78,9;210,7;31;40,8;80,6;~100;230,0;45;59,2;68,9;73,3;197,2;
Norrköping;Samtliga;1 520;68,5;78,5;213,7;687;45,2;70,3;79,5;226,1;833;54,8;67,0;77,7;203,4;
Norrköping;Kommunal;1 086;63,2;73,8;204,3;508;46,8;66,1;76,2;216,1;578;53,2;60,6;71,6;193,9;
Norrköping;Enskild;434;81,8;90,3;236,7;179;41,2;82,1;88,8;254,2;255;58,8;81,6;91,4;224,4;
Norrtälje;Samtliga;628;73,2;83,0;222,0;299;47,6;80,9;88,6;245,8;329;52,4;66,3;77,8;200,3;
Norrtälje;Kommunal;531;71,0;80,8;216,5;246;46,3;80,1;87,0;243,5;285;53,7;63,2;75,4;193,3;
Norrtälje;Enskild;97;85,6;94,8;251,3;53;54,6;84,9;~100;256,6;44;45,4;86,4;~100;245,1;
Norsjö;Samtliga;53;58,5;67,9;194,2;26;49,1;65,4;73,1;198,3;27;50,9;51,9;63,0;189,6;
Norsjö;Kommunal;53;58,5;67,9;194,2;26;49,1;65,4;73,1;198,3;27;50,9;51,9;63,0;189,6;
Nybro;Samtliga;228;64,9;70,6;207,5;100;43,9;71,0;76,0;234,1;128;56,1;60,2;66,4;186,4;
Nybro;Kommunal;228;64,9;70,6;207,5;100;43,9;71,0;76,0;234,1;128;56,1;60,2;66,4;186,4;
Nykvarn;Samtliga;145;89,7;93,8;240,6;69;47,6;85,5;92,8;254,9;76;52,4;93,4;~100;227,8;
Nykvarn;Kommunal;145;89,7;93,8;240,6;69;47,6;85,5;92,8;254,9;76;52,4;93,4;~100;227,8;
Nyköping;Samtliga;638;70,4;79,5;214,1;314;49,2;76,1;82,5;237,3;324;50,8;64,8;76,5;191,9;
Nyköping;Kommunal;454;65,2;75,8;205,2;203;44,7;70,9;78,3;228,1;251;55,3;60,6;73,7;186,9;
Nyköping;Enskild;184;83,2;88,6;236,0;111;60,3;85,6;90,1;254,0;73;39,7;79,5;86,3;208,7;
Nynäshamn;Samtliga;272;72,8;82,0;212,3;129;47,4;76,7;85,3;230,2;143;52,6;69,2;79,0;195,8;
Nynäshamn;Kommunal;272;72,8;82,0;212,3;129;47,4;76,7;85,3;230,2;143;52,6;69,2;79,0;195,8;
Nässjö;Samtliga;350;66,0;77,1;209,6;164;46,9;72,0;78,7;224,6;186;53,1;60,8;75,8;196,3;
Nässjö;Kommunal;350;66,0;77,1;209,6;164;46,9;72,0;78,7;224,6;186;53,1;60,8;75,8;196,3;
Ockelbo;Samtliga;48;81,3;85,4;222,9;19;39,6;84,2;~100;238,6;29;60,4;79,3;82,8;212,3;
Ockelbo;Kommunal;48;81,3;85,4;222,9;19;39,6;84,2;~100;238,6;29;60,4;79,3;82,8;212,3;
Olofström;Samtliga;121;77,7;87,6;214,3;59;48,8;79,7;91,5;225,9;62;51,2;75,8;83,9;203,2;
Olofström;Kommunal;121;77,7;87,6;214,3;59;48,8;79,7;91,5;225,9;62;51,2;75,8;83,9;203,2;
Orsa;Samtliga;78;75,6;87,2;214,0;33;42,3;78,8;~100;233,2;45;57,7;73,3;86,7;200,0;
Orsa;Kommunal;78;75,6;87,2;214,0;33;42,3;78,8;~100;233,2;45;57,7;73,3;86,7;200,0;
Orust;Samtliga;161;77,0;82,0;217,0;70;43,5;78,6;81,4;231,6;91;56,5;75,8;82,4;205,5;
Orust;Kommunal;161;77,0;82,0;217,0;70;43,5;78,6;81,4;231,6;91;56,5;75,8;82,4;205,5;
Osby;Samtliga;136;68,4;77,2;204,6;67;49,3;73,1;82,1;223,1;69;50,7;63,8;72,5;187,0;
Osby;Kommunal;136;68,4;77,2;204,6;67;49,3;73,1;82,1;223,1;69;50,7;63,8;72,5;187,0;
Oskarshamn;Samtliga;307;75,2;82,1;221,9;152;49,5;83,6;88,2;242,0;155;50,5;67,1;76,1;201,0;
Oskarshamn;Kommunal;307;75,2;82,1;221,9;152;49,5;83,6;88,2;242,0;155;50,5;67,1;76,1;201,0;
Ovanåker;Samtliga;131;70,2;78,6;216,5;57;43,5;80,7;89,5;244,6;74;56,5;62,2;70,3;194,6;
Ovanåker;Kommunal;131;70,2;78,6;216,5;57;43,5;80,7;89,5;244,6;74;56,5;62,2;70,3;194,6;
Oxelösund;Samtliga;85;78,8;82,4;216,4;50;58,8;84,0;86,0;229,0;35;41,2;71,4;77,1;198,6;
Oxelösund;Kommunal;85;78,8;82,4;216,4;50;58,8;84,0;86,0;229,0;35;41,2;71,4;77,1;198,6;
Pajala;Samtliga;69;55,1;59,4;197,4;21;30,4;76,2;76,2;268,5;48;69,6;45,8;52,1;167,7;
Pajala;Kommunal;64;53,1;57,8;196,3;20;31,3;75,0;75,0;270,5;44;68,8;43,2;50,0;164,2;
Pajala;Enskild;..;..;..;..;..;..;..;..;..;..;..;..;..;..;
Partille;Samtliga;448;83,3;88,6;238,1;188;42,0;88,3;90,4;248,7;260;58,0;79,6;87,3;230,5;
Partille;Kommunal;429;82,5;88,1;237,1;181;42,2;87,8;90,1;247,2;248;57,8;78,6;86,7;229,7;
Partille;Enskild;19;100,0;100,0;262,2;..;..;..;..;..;..;..;100,0;100,0;247,7;
Perstorp;Samtliga;87;46,0;57,5;162,3;41;47,1;56,1;68,3;193,9;46;52,9;37,0;47,8;132,1;
Perstorp;Kommunal;87;46,0;57,5;162,3;41;47,1;56,1;68,3;193,9;46;52,9;37,0;47,8;132,1;
Piteå;Samtliga;483;83,6;88,8;227,6;225;46,6;86,7;92,0;243,3;258;53,4;81,0;86,0;213,8;
Piteå;Kommunal;483;83,6;88,8;227,6;225;46,6;86,7;92,0;243,3;258;53,4;81,0;86,0;213,8;
Ragunda;Samtliga;69;53,6;59,4;172,0;31;44,9;54,8;61,3;190,0;38;55,1;52,6;57,9;157,2;
Ragunda;Kommunal;69;53,6;59,4;172,0;31;44,9;54,8;61,3;190,0;38;55,1;52,6;57,9;157,2;
Robertsfors;Samtliga;63;69,8;77,8;214,1;22;34,9;77,3;~100;217,5;41;65,1;65,9;73,2;212,2;
Robertsfors;Kommunal;63;69,8;77,8;214,1;22;34,9;77,3;~100;217,5;41;65,1;65,9;73,2;212,2;
Ronneby;Samtliga;295;68,5;75,3;207,4;133;45,1;73,7;79,7;225,3;162;54,9;64,2;71,6;192,2;
Ronneby;Kommunal;273;68,1;74,7;209,6;122;44,7;73,0;78,7;226,6;151;55,3;64,2;71,5;195,5;
Ronneby;Enskild;22;72,7;~100;181,6;11;50,0;..;~100;211,4;11;50,0;..;..;151,8;
Rättvik;Samtliga;108;85,2;95,4;213,6;44;40,7;79,5;~100;226,2;64;59,3;89,1;~100;205,0;
Rättvik;Kommunal;108;85,2;95,4;213,6;44;40,7;79,5;~100;226,2;64;59,3;89,1;~100;205,0;
Sala;Samtliga;206;68,9;83,5;215,0;102;49,5;74,5;86,3;234,2;104;50,5;63,5;80,8;196,3;
Sala;Kommunal;206;68,9;83,5;215,0;102;49,5;74,5;86,3;234,2;104;50,5;63,5;80,8;196,3;
Salem;Samtliga;208;88,0;91,8;241,7;94;45,2;92,6;~100;258,0;114;54,8;84,2;88,6;228,2;
Salem;Kommunal;181;87,8;91,2;243,1;84;46,4;91,7;~100;260,3;97;53,6;84,5;87,6;228,3;
