Statistik från Skolverket, http://www.skolverket.se

Grundskolan - Slutbetyg årskurs 9, uppdelat per kön
Valt läsår: 2015/16

;;Flickor, inklusive okänd bakgrund;Flickor, inklusive okänd bakgrund;Flickor, inklusive okänd bakgrund;Flickor, inklusive okänd bakgrund;Flickor, inklusive okänd bakgrund;Flickor, exklusive okänd bakgrund;Flickor, exklusive okänd bakgrund;Flickor, exklusive okänd bakgrund;Pojkar, inklusive okänd bakgrund ;Pojkar, inklusive okänd bakgrund ;Pojkar, inklusive okänd bakgrund ;Pojkar, inklusive okänd bakgrund ;Pojkar, inklusive okänd bakgrund ;Pojkar, exklusive okänd bakgrund ;Pojkar, exklusive okänd bakgrund ;Pojkar, exklusive okänd bakgrund ;
Kommun;Typ av huvudman;Antal elever;Andel (%) elever;Andel (%) uppnått kunskapskraven i alla ämnen;Andel (%) behörig yrkesprog.;Genomsnittligt meritvärde (17);Andel (%) uppnått kunskapskraven i alla ämnen;Andel (%) behörig yrkesprog.;Genomsnittligt meritvärde (17);Antal elever;Andel (%) elever;Andel (%) uppnått kunskapskraven i alla ämnen;Andel (%) behörig yrkesprog.;Genomsnittligt meritvärde (17);Andel (%) uppnått kunskapskraven i alla ämnen;Andel (%) behörig yrkesprog.;Genomsnittligt meritvärde (17);
Ludvika;Samtliga;133;45,1;63,2;81,2;203,5;66,1;84,3;208,6;162;54,9;59,9;73,5;184,9;67,8;83,2;195,5;
Ludvika;Kommunal;133;45,1;63,2;81,2;203,5;66,1;84,3;208,6;162;54,9;59,9;73,5;184,9;67,8;83,2;195,5;
Luleå;Samtliga;330;42,5;84,5;93,9;243,3;84,5;93,9;243,3;446;57,5;75,6;80,9;212,4;82,6;88,5;219,8;
Luleå;Kommunal;268;42,6;83,6;93,3;243,2;83,6;93,3;243,2;361;57,4;71,2;76,5;205,4;79,6;85,4;214,6;
Luleå;Enskild;62;42,2;88,7;~100;244,1;88,7;~100;244,1;85;57,8;94,1;100,0;239,6;94,0;100,0;239,6;
Lund;Samtliga;574;46,7;90,7;95,4;266,3;90,9;95,5;266,3;655;53,3;82,2;88,2;235,1;88,6;95,1;243,9;
Lund;Kommunal;460;44,7;89,3;94,6;264,1;89,5;94,8;264,1;569;55,3;80,0;86,9;232,1;87,3;94,8;242,2;
Lund;Enskild;114;57,0;96,5;~100;274,8;96,5;~100;274,8;86;43,0;96,5;~100;253,7;96,5;~100;253,7;
Lycksele;Samtliga;65;51,6;83,1;87,7;236,8;85,7;88,9;241,8;61;48,4;82,0;88,5;201,0;82,0;88,5;201,0;
Lycksele;Kommunal;65;51,6;83,1;87,7;236,8;85,7;88,9;241,8;61;48,4;82,0;88,5;201,0;82,0;88,5;201,0;
Lysekil;Samtliga;59;43,1;72,9;86,4;230,7;72,9;86,4;230,7;78;56,9;74,4;84,6;219,6;82,9;~100;222,6;
Lysekil;Kommunal;59;43,1;72,9;86,4;230,7;72,9;86,4;230,7;78;56,9;74,4;84,6;219,6;82,9;~100;222,6;
Malmö;Samtliga;1 315;47,9;70,3;80,6;237,7;71,5;82,0;238,7;1 431;52,1;63,9;75,1;215,2;68,4;80,3;218,5;
Malmö;Kommunal;1 089;47,4;67,6;78,3;232,2;69,0;80,0;233,3;1 208;52,6;59,8;71,7;209,4;64,8;77,7;213,3;
Malmö;Enskild;226;50,3;83,2;91,6;263,9;83,1;91,6;263,7;223;49,7;86,5;93,3;244,2;86,5;93,2;244,3;
Malung-Sälen;Samtliga;46;35,7;84,8;84,8;247,4;88,6;88,6;247,4;83;64,3;62,7;67,5;205,5;81,3;87,5;208,5;
Malung-Sälen;Kommunal;46;35,7;84,8;84,8;247,4;88,6;88,6;247,4;83;64,3;62,7;67,5;205,5;81,3;87,5;208,5;
Malå;Samtliga;18;45,0;77,8;~100;225,7;77,8;~100;225,7;22;55,0;72,7;~100;193,1;72,7;~100;193,1;
Malå;Kommunal;18;45,0;77,8;~100;225,7;77,8;~100;225,7;22;55,0;72,7;~100;193,1;72,7;~100;193,1;
Mariestad;Samtliga;112;47,7;84,8;92,9;238,9;85,6;93,7;239,9;123;52,3;57,7;78,9;190,8;62,8;85,8;205,0;
Mariestad;Kommunal;78;43,8;79,5;91,0;234,9;80,5;92,2;236,4;100;56,2;49,0;75,0;181,9;54,4;83,3;198,8;
Mariestad;Enskild;34;59,6;97,1;~100;247,9;97,1;~100;247,9;23;40,4;95,7;~100;229,1;95,7;~100;229,1;
Mark;Samtliga;177;43,8;84,2;91,5;243,0;84,2;91,5;243,0;227;56,2;72,2;81,9;206,3;74,9;84,9;210,6;
Mark;Kommunal;167;43,4;83,8;91,6;243,5;83,8;91,6;243,5;218;56,6;72,9;82,1;207,0;75,7;85,2;211,5;
Mark;Enskild;..;..;..;..;235,5;..;..;235,5;..;..;..;..;..;..;..;..;
Markaryd;Samtliga;62;48,8;82,3;83,9;227,3;82,3;83,9;227,3;65;51,2;60,0;64,6;192,7;79,6;85,7;203,6;
Markaryd;Kommunal;62;48,8;82,3;83,9;227,3;82,3;83,9;227,3;65;51,2;60,0;64,6;192,7;79,6;85,7;203,6;
Mellerud;Samtliga;42;43,3;57,1;76,2;201,2;61,5;79,5;206,7;55;56,7;65,5;72,7;191,7;65,5;72,7;191,7;
Mellerud;Kommunal;42;43,3;57,1;76,2;201,2;61,5;79,5;206,7;55;56,7;65,5;72,7;191,7;65,5;72,7;191,7;
Mjölby;Samtliga;128;45,7;78,9;89,1;235,4;78,9;89,1;235,4;152;54,3;73,7;82,2;205,1;76,2;85,0;207,7;
Mjölby;Kommunal;128;45,7;78,9;89,1;235,4;78,9;89,1;235,4;152;54,3;73,7;82,2;205,1;76,2;85,0;207,7;
Mora;Samtliga;103;45,4;74,8;81,6;221,3;75,2;82,2;221,5;124;54,6;46,0;54,0;177,5;59,4;69,8;184,5;
Mora;Kommunal;103;45,4;74,8;81,6;221,3;75,2;82,2;221,5;124;54,6;46,0;54,0;177,5;59,4;69,8;184,5;
Motala;Samtliga;214;46,3;82,2;89,7;233,1;83,0;90,6;235,2;248;53,7;79,0;88,3;213,7;79,4;88,7;213,7;
Motala;Kommunal;161;43,5;80,1;87,0;228,3;81,1;88,1;231,0;209;56,5;80,4;89,5;215,7;80,8;89,9;215,7;
Motala;Enskild;53;57,6;88,7;~100;247,5;88,7;~100;247,5;39;42,4;71,8;82,1;203,1;71,8;82,1;203,1;
Mullsjö;Samtliga;33;49,3;72,7;75,8;216,2;72,7;75,8;216,2;34;50,7;79,4;85,3;199,3;81,8;84,8;200,8;
Mullsjö;Kommunal;33;49,3;72,7;75,8;216,2;72,7;75,8;216,2;34;50,7;79,4;85,3;199,3;81,8;84,8;200,8;
Munkedal;Samtliga;53;43,1;66,0;77,4;210,8;68,6;80,4;214,8;70;56,9;48,6;62,9;156,7;59,6;77,2;187,8;
Munkedal;Kommunal;53;43,1;66,0;77,4;210,8;68,6;80,4;214,8;70;56,9;48,6;62,9;156,7;59,6;77,2;187,8;
Munkfors;Samtliga;22;55,0;90,9;~100;240,0;90,9;~100;240,0;18;45,0;77,8;~100;203,6;77,8;~100;203,6;
Munkfors;Kommunal;22;55,0;90,9;~100;240,0;90,9;~100;240,0;18;45,0;77,8;~100;203,6;77,8;~100;203,6;
Mölndal;Samtliga;313;48,2;84,0;88,8;247,0;84,6;89,4;248,4;337;51,8;76,6;83,7;219,9;80,4;87,5;224,3;
Mölndal;Kommunal;289;50,0;84,1;89,3;247,9;84,7;89,9;249,5;289;50,0;74,7;81,7;216,3;79,1;86,1;221,4;
Mölndal;Enskild;24;33,3;83,3;~100;235,1;83,3;~100;235,1;48;66,7;87,5;~100;240,5;87,5;~100;240,5;
Mönsterås;Samtliga;68;51,9;76,5;82,4;210,6;76,5;82,4;210,6;63;48,1;58,7;76,2;175,2;59,7;77,4;177,5;
Mönsterås;Kommunal;68;51,9;76,5;82,4;210,6;76,5;82,4;210,6;63;48,1;58,7;76,2;175,2;59,7;77,4;177,5;
Mörbylånga;Samtliga;82;47,4;82,9;93,9;226,9;84,0;~100;226,9;91;52,6;69,2;73,6;197,7;88,7;~100;207,6;
Mörbylånga;Kommunal;49;40,5;77,6;89,8;215,8;79,2;~100;215,8;72;59,5;61,1;66,7;192,1;84,6;~100;205,1;
Mörbylånga;Enskild;33;63,5;90,9;100,0;243,0;90,9;100,0;243,0;19;36,5;100,0;100,0;214,3;100,0;100,0;214,3;
Nacka;Samtliga;615;49,0;91,1;96,3;275,3;91,3;96,4;275,8;640;51,0;90,9;95,0;253,6;92,5;96,7;257,3;
Nacka;Kommunal;410;48,2;90,0;96,1;272,4;90,4;96,3;273,2;440;51,8;91,4;95,7;255,1;92,2;96,6;256,6;
Nacka;Enskild;205;50,6;93,2;96,6;281,1;93,2;96,6;281,1;200;49,4;90,0;93,5;250,5;93,2;96,9;258,9;
Nora;Samtliga;52;45,6;88,5;~100;230,9;88,5;~100;230,9;62;54,4;77,4;85,5;208,2;77,4;85,5;208,2;
Nora;Kommunal;52;45,6;88,5;~100;230,9;88,5;~100;230,9;62;54,4;77,4;85,5;208,2;77,4;85,5;208,2;
Norberg;Samtliga;25;35,2;80,0;~100;223,3;80,0;~100;223,3;46;64,8;45,7;65,2;175,8;48,8;70,7;187,8;
Norberg;Kommunal;25;35,2;80,0;~100;223,3;80,0;~100;223,3;46;64,8;45,7;65,2;175,8;48,8;70,7;187,8;
Nordanstig;Samtliga;33;34,7;66,7;84,8;196,5;68,8;~100;201,6;62;65,3;46,8;66,1;158,8;49,2;69,5;164,5;
Nordanstig;Kommunal;33;37,9;66,7;84,8;196,5;68,8;~100;201,6;54;62,1;44,4;64,8;153,7;47,1;68,6;160,1;
Nordanstig;Enskild;..;..;.;.;.;.;.;.;..;..;..;..;..;..;..;..;
Nordmaling;Samtliga;38;51,4;86,8;100,0;246,2;86,8;100,0;246,2;36;48,6;55,6;~100;191,5;57,1;~100;192,1;
Nordmaling;Kommunal;38;51,4;86,8;100,0;246,2;86,8;100,0;246,2;36;48,6;55,6;~100;191,5;57,1;~100;192,1;
Norrköping;Samtliga;757;48,9;74,4;83,4;227,5;75,0;84,0;228,9;790;51,1;68,4;78,5;197,9;71,1;81,6;203,8;
Norrköping;Kommunal;560;49,9;69,6;80,0;219,2;70,4;80,9;220,9;562;50,1;61,0;73,0;186,6;64,5;77,1;194,4;
Norrköping;Enskild;197;46,4;87,8;92,9;251,4;87,8;92,9;251,4;228;53,6;86,4;92,1;225,2;86,4;92,1;225,2;
Norrtälje;Samtliga;274;47,8;82,5;90,1;244,1;83,0;90,8;244,8;299;52,2;69,9;84,3;208,9;71,3;86,0;211,9;
Norrtälje;Kommunal;231;48,0;80,1;89,2;239,5;80,7;89,9;240,3;250;52,0;66,4;82,8;203,1;68,0;84,8;206,6;
Norrtälje;Enskild;43;46,7;95,3;~100;268,2;95,3;~100;268,2;49;53,3;87,8;~100;237,9;87,8;~100;237,9;
Norsjö;Samtliga;20;44,4;90,0;~100;246,9;90,0;~100;246,9;25;55,6;76,0;~100;213,8;76,0;~100;213,8;
Norsjö;Kommunal;20;44,4;90,0;~100;246,9;90,0;~100;246,9;25;55,6;76,0;~100;213,8;76,0;~100;213,8;
Nybro;Samtliga;106;45,3;79,2;86,8;243,1;81,6;89,3;247,1;128;54,7;65,6;76,6;201,1;70,6;82,4;209,0;
Nybro;Kommunal;106;45,3;79,2;86,8;243,1;81,6;89,3;247,1;128;54,7;65,6;76,6;201,1;70,6;82,4;209,0;
Nykvarn;Samtliga;65;48,1;96,9;~100;250,5;96,9;~100;250,5;70;51,9;94,3;100,0;234,9;94,3;100,0;234,9;
Nykvarn;Kommunal;65;48,1;96,9;~100;250,5;96,9;~100;250,5;70;51,9;94,3;100,0;234,9;94,3;100,0;234,9;
Nyköping;Samtliga;298;43,7;75,8;85,6;232,7;76,9;86,7;234,0;384;56,3;61,2;71,9;181,6;71,8;84,4;202,4;
Nyköping;Kommunal;206;41,7;70,9;81,1;225,4;72,3;82,7;227,2;288;58,3;54,2;64,9;168,9;67,4;80,9;196,0;
Nyköping;Enskild;92;48,9;87,0;~100;248,8;87,0;~100;248,8;96;51,1;82,3;92,7;217,4;82,3;92,7;217,4;
Nynäshamn;Samtliga;110;47,4;83,6;91,8;245,3;83,6;91,8;245,3;122;52,6;73,8;83,6;206,0;73,8;83,6;206,0;
Nynäshamn;Kommunal;110;47,4;83,6;91,8;245,3;83,6;91,8;245,3;122;52,6;73,8;83,6;206,0;73,8;83,6;206,0;
Nässjö;Samtliga;170;46,2;70,6;78,8;220,6;72,3;80,7;223,2;198;53,8;61,6;73,7;204,2;68,2;81,6;209,6;
Nässjö;Kommunal;170;46,2;70,6;78,8;220,6;72,3;80,7;223,2;198;53,8;61,6;73,7;204,2;68,2;81,6;209,6;
Ockelbo;Samtliga;22;50,0;81,8;~100;249,3;81,8;~100;249,3;22;50,0;86,4;~100;218,2;86,4;~100;218,2;
Ockelbo;Kommunal;22;50,0;81,8;~100;249,3;81,8;~100;249,3;22;50,0;86,4;~100;218,2;86,4;~100;218,2;
Olofström;Samtliga;62;46,3;83,9;90,3;232,0;83,9;90,3;232,0;72;53,7;83,3;87,5;212,7;83,3;87,5;212,7;
Olofström;Kommunal;62;46,3;83,9;90,3;232,0;83,9;90,3;232,0;72;53,7;83,3;87,5;212,7;83,3;87,5;212,7;
Orsa;Samtliga;29;36,7;89,7;~100;236,6;89,7;~100;236,6;50;63,3;62,0;78,0;207,0;66,0;83,0;217,1;
Orsa;Kommunal;29;36,7;89,7;~100;236,6;89,7;~100;236,6;50;63,3;62,0;78,0;207,0;66,0;83,0;217,1;
Orust;Samtliga;76;44,7;82,9;~100;242,5;84,0;~100;242,5;94;55,3;71,3;79,8;191,2;77,0;86,2;200,5;
Orust;Kommunal;74;45,1;82,4;~100;241,6;83,6;~100;241,6;90;54,9;70,0;78,9;188,1;75,9;85,5;197,7;
Orust;Enskild;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;
Osby;Samtliga;55;43,0;89,1;~100;247,7;89,1;~100;247,7;73;57,0;78,1;84,9;210,5;80,3;87,3;215,5;
Osby;Kommunal;55;43,0;89,1;~100;247,7;89,1;~100;247,7;73;57,0;78,1;84,9;210,5;80,3;87,3;215,5;
Oskarshamn;Samtliga;125;46,1;77,6;83,2;243,4;77,6;83,2;243,4;146;53,9;71,9;82,2;195,5;76,6;86,9;204,3;
Oskarshamn;Kommunal;125;46,1;77,6;83,2;243,4;77,6;83,2;243,4;146;53,9;71,9;82,2;195,5;76,6;86,9;204,3;
Ovanåker;Samtliga;60;44,4;85,0;88,3;219,4;87,9;91,4;223,9;75;55,6;73,3;78,7;198,3;79,7;85,5;203,8;
Ovanåker;Kommunal;60;44,4;85,0;88,3;219,4;87,9;91,4;223,9;75;55,6;73,3;78,7;198,3;79,7;85,5;203,8;
Oxelösund;Samtliga;43;52,4;74,4;81,4;209,4;75,6;82,9;214,6;39;47,6;61,5;74,4;181,7;66,7;80,6;189,7;
Oxelösund;Kommunal;43;52,4;74,4;81,4;209,4;75,6;82,9;214,6;39;47,6;61,5;74,4;181,7;66,7;80,6;189,7;
Pajala;Samtliga;36;52,2;77,8;80,6;244,6;77,8;80,6;244,6;33;47,8;72,7;81,8;200,5;72,7;81,8;200,5;
Pajala;Kommunal;35;52,2;77,1;80,0;244,6;77,1;80,0;244,6;32;47,8;71,9;81,3;200,4;71,9;81,3;200,4;
Pajala;Enskild;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;
Partille;Samtliga;219;44,8;79,9;86,8;247,4;80,6;87,6;249,3;270;55,2;74,1;79,3;217,1;84,0;89,9;228,6;
Partille;Kommunal;211;44,8;80,6;87,7;247,8;81,3;88,5;249,8;260;55,2;73,1;78,5;215,4;83,3;89,5;227,2;
Partille;Enskild;..;..;..;..;..;..;..;..;..;..;100,0;100,0;259,5;100,0;100,0;259,5;
Perstorp;Samtliga;38;37,6;50,0;68,4;192,2;55,9;76,5;207,1;63;62,4;47,6;74,6;198,7;50,8;79,7;205,0;
Perstorp;Kommunal;38;37,6;50,0;68,4;192,2;55,9;76,5;207,1;63;62,4;47,6;74,6;198,7;50,8;79,7;205,0;
Piteå;Samtliga;246;48,9;89,8;94,7;243,7;90,6;95,5;245,5;257;51,1;82,1;90,3;210,3;87,2;95,9;221,4;
Piteå;Kommunal;246;48,9;89,8;94,7;243,7;90,6;95,5;245,5;257;51,1;82,1;90,3;210,3;87,2;95,9;221,4;
Ragunda;Samtliga;20;41,7;70,0;~100;232,1;70,0;~100;232,1;28;58,3;60,7;71,4;191,1;70,8;~100;196,0;
Ragunda;Kommunal;20;41,7;70,0;~100;232,1;70,0;~100;232,1;28;58,3;60,7;71,4;191,1;70,8;~100;196,0;
Robertsfors;Samtliga;30;49,2;80,0;~100;233,9;80,0;~100;233,9;31;50,8;64,5;80,6;203,8;71,4;~100;210,6;
Robertsfors;Kommunal;30;49,2;80,0;~100;233,9;80,0;~100;233,9;31;50,8;64,5;80,6;203,8;71,4;~100;210,6;
Ronneby;Samtliga;143;48,3;74,8;84,6;227,7;76,4;86,4;229,3;153;51,7;58,2;69,9;192,3;62,2;74,8;193,8;
Ronneby;Kommunal;119;47,0;74,8;84,0;224,6;76,1;85,5;226,5;134;53,0;56,7;69,4;191,7;60,8;74,4;193,5;
Ronneby;Enskild;24;55,8;75,0;~100;243,5;78,3;~100;243,5;19;44,2;68,4;73,7;196,0;72,2;~100;196,0;
Rättvik;Samtliga;45;48,4;88,9;~100;227,8;88,9;~100;227,8;48;51,6;95,8;100,0;224,6;95,8;100,0;224,6;
Rättvik;Kommunal;45;48,4;88,9;~100;227,8;88,9;~100;227,8;48;51,6;95,8;100,0;224,6;95,8;100,0;224,6;
Sala;Samtliga;95;44,6;71,6;84,2;230,1;72,3;84,0;230,5;118;55,4;81,4;89,0;218,6;81,4;89,0;218,6;
Sala;Kommunal;95;44,6;71,6;84,2;230,1;72,3;84,0;230,5;118;55,4;81,4;89,0;218,6;81,4;89,0;218,6;
Salem;Samtliga;76;47,2;84,2;85,5;251,8;84,2;85,5;251,8;85;52,8;75,3;87,1;229,4;75,3;87,1;229,4;
Salem;Kommunal;61;44,9;88,5;90,2;257,9;88,5;90,2;257,9;75;55,1;74,7;86,7;229,9;74,7;86,7;229,9;
Salem;Enskild;15;60,0;66,7;66,7;227,0;66,7;66,7;227,0;10;40,0;..;..;225,5;..;..;225,5;
Sandviken;Samtliga;203;47,2;70,0;84,2;217,9;71,0;85,5;218,9;227;52,8;66,1;74,9;189,5;69,6;79,0;197,6;
Sandviken;Kommunal;184;48,0;67,9;83,2;217,3;69,1;84,5;218,5;199;52,0;64,3;72,9;185,0;68,4;77,5;194,3;
Sandviken;Enskild;19;40,4;89,5;~100;223,4;89,5;~100;223,4;28;59,6;78,6;~100;220,5;77,8;~100;220,5;
Sigtuna;Samtliga;273;51,7;81,0;86,4;246,5;81,4;87,0;247,2;255;48,3;69,8;78,4;210,8;72,1;81,1;213,5;
Sigtuna;Kommunal;188;51,1;79,3;84,6;236,7;79,7;85,0;237,6;180;48,9;67,8;73,9;196,2;70,2;76,6;199,2;
Sigtuna;Enskild;85;53,1;84,7;90,6;268,0;85,4;91,5;269,2;75;46,9;74,7;89,3;244,5;76,7;91,8;246,1;
Simrishamn;Samtliga;95;51,1;83,2;89,5;253,9;84,0;90,4;256,1;91;48,9;57,1;67,0;202,4;75,4;88,4;217,4;
Simrishamn;Kommunal;70;50,4;84,3;90,0;253,6;85,5;91,3;256,6;69;49,6;56,5;63,8;210,8;79,6;89,8;225,3;
Simrishamn;Enskild;25;53,2;80,0;~100;254,8;80,0;~100;254,8;22;46,8;59,1;77,3;182,7;65,0;~100;198,5;
Sjöbo;Samtliga;83;46,1;84,3;92,8;235,6;84,3;92,8;235,6;97;53,9;59,8;70,1;203,7;72,5;85,0;209,7;
Sjöbo;Kommunal;83;48,3;84,3;92,8;235,6;84,3;92,8;235,6;89;51,7;60,7;71,9;207,3;75,0;88,9;214,0;
Sjöbo;Enskild;..;..;.;.;.;.;.;.;..;..;..;..;..;..;..;..;
Skara;Samtliga;92;52,0;90,2;94,6;254,4;90,2;94,6;254,4;85;48,0;83,5;90,6;213,9;84,3;91,6;214,5;
Skara;Kommunal;78;51,3;92,3;~100;253,6;92,3;~100;253,6;74;48,7;83,8;89,2;214,2;84,9;90,4;215,5;
Skara;Enskild;14;56,0;78,6;~100;259,0;78,6;~100;259,0;11;44,0;..;100,0;211,8;..;100,0;207,0;
Skellefteå;Samtliga;394;49,2;80,2;86,5;228,4;82,7;89,3;232,9;407;50,8;68,8;78,4;200,0;75,7;86,2;208,7;
Skellefteå;Kommunal;377;48,5;80,1;86,5;228,2;82,7;89,3;232,9;400;51,5;68,3;78,0;199,3;75,2;86,0;208,1;
Skellefteå;Enskild;..;..;82,4;~100;233,5;82,4;~100;233,5;..;..;..;..;..;..;..;..;
Skinnskatteberg;Samtliga;18;34,6;..;61,1;174,8;..;68,8;174,8;34;65,4;..;32,4;157,5;..;64,7;183,1;
Skinnskatteberg;Kommunal;18;34,6;..;61,1;174,8;..;68,8;174,8;34;65,4;..;32,4;157,5;..;64,7;183,1;
Skurup;Samtliga;75;42,4;86,7;93,3;237,7;86,7;93,3;237,7;102;57,6;82,4;90,2;217,9;84,0;91,0;218,9;
Skurup;Kommunal;75;42,4;86,7;93,3;237,7;86,7;93,3;237,7;102;57,6;82,4;90,2;217,9;84,0;91,0;218,9;
Skövde;Samtliga;260;45,8;79,6;88,1;228,5;79,6;88,1;228,5;308;54,2;66,6;77,6;202,3;74,8;87,2;210,5;
Skövde;Kommunal;260;46,2;79,6;88,1;228,5;79,6;88,1;228,5;303;53,8;67,3;77,9;203,8;75,8;87,7;212,2;
Skövde;Enskild;..;..;.;.;.;.;.;.;..;..;..;..;..;..;..;..;
Smedjebacken;Samtliga;37;37,8;81,1;83,8;217,0;83,3;86,1;222,5;61;62,2;42,6;44,3;125,6;78,8;81,8;196,4;
Smedjebacken;Kommunal;37;37,8;81,1;83,8;217,0;83,3;86,1;222,5;61;62,2;42,6;44,3;125,6;78,8;81,8;196,4;
Sollefteå;Samtliga;89;39,7;74,2;83,1;220,7;76,7;86,0;223,2;135;60,3;62,2;68,1;175,5;75,7;82,9;197,6;
Sollefteå;Kommunal;89;39,7;74,2;83,1;220,7;76,7;86,0;223,2;135;60,3;62,2;68,1;175,5;75,7;82,9;197,6;
Sollentuna;Samtliga;397;43,6;90,9;94,0;269,5;90,9;93,9;269,6;513;56,4;81,7;86,9;243,5;87,1;92,7;247,3;
Sollentuna;Kommunal;326;44,7;90,2;93,3;269,0;90,2;93,2;269,1;403;55,3;77,9;84,1;239,3;84,6;91,4;244,2;
Sollentuna;Enskild;71;39,2;94,4;~100;272,0;94,4;~100;272,0;110;60,8;95,5;~100;257,8;95,5;~100;257,8;
Solna;Samtliga;168;42,9;78,0;86,3;250,9;78,4;86,8;252,1;224;57,1;73,2;81,7;219,1;74,7;83,4;222,6;
Solna;Kommunal;122;44,4;78,7;88,5;251,5;79,3;89,3;253,2;153;55,6;70,6;81,7;214,6;72,6;84,2;219,7;
Solna;Enskild;46;39,3;76,1;80,4;249,2;76,1;80,4;249,2;71;60,7;78,9;81,7;228,6;78,9;81,7;228,6;
Sorsele;Samtliga;18;36,0;61,1;72,2;195,3;61,1;72,2;195,3;32;64,0;43,8;50,0;159,3;58,3;66,7;171,6;
Sorsele;Kommunal;18;36,0;61,1;72,2;195,3;61,1;72,2;195,3;32;64,0;43,8;50,0;159,3;58,3;66,7;171,6;
Sotenäs;Samtliga;34;35,1;67,6;82,4;208,5;67,6;82,4;208,5;63;64,9;79,4;85,7;203,8;89,3;~100;223,9;
Sotenäs;Kommunal;34;35,1;67,6;82,4;208,5;67,6;82,4;208,5;63;64,9;79,4;85,7;203,8;89,3;~100;223,9;
Staffanstorp;Samtliga;131;45,6;83,2;87,8;246,0;84,5;89,1;247,9;156;54,4;79,5;86,5;222,9;83,2;90,6;229,1;
Staffanstorp;Kommunal;121;45,3;83,5;87,6;244,2;84,9;89,1;246,1;146;54,7;82,9;87,7;225,5;87,1;92,1;232,2;
Staffanstorp;Enskild;10;50,0;..;..;268,0;..;..;268,0;10;50,0;..;..;184,8;..;..;184,8;
Stenungsund;Samtliga;152;47,9;78,3;88,2;228,9;79,3;88,7;229,7;165;52,1;75,8;87,3;209,9;78,0;89,9;215,3;
Stenungsund;Kommunal;145;48,7;77,9;88,3;229,1;79,0;88,8;230,0;153;51,3;75,2;86,9;207,0;77,6;89,8;212,8;
Stenungsund;Enskild;..;..;..;..;..;..;..;..;..;..;83,3;~100;245,6;83,3;~100;245,6;
Stockholm;Samtliga;4 295;47,4;82,1;90,0;260,5;83,1;90,9;262,3;4 757;52,6;72,8;81,5;229,9;79,5;89,1;240,6;
Stockholm;Kommunal;2 723;45,9;80,5;88,8;257,4;81,9;90,2;259,8;3 214;54,1;69,3;77,1;223,4;78,6;87,4;238,0;
Stockholm;Enskild;1 572;50,5;85,1;92,2;266,2;85,2;92,4;266,7;1 543;49,5;80,4;91,3;243,5;81,3;92,3;245,7;
Storfors;Samtliga;26;47,3;65,4;80,8;218,7;68,0;~100;221,3;29;52,7;69,0;82,8;223,5;69,0;82,8;223,5;
Storfors;Kommunal;19;43,2;68,4;73,7;219,3;72,2;~100;223,1;25;56,8;76,0;80,0;221,6;76,0;80,0;221,6;
Storfors;Enskild;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;
Storuman;Samtliga;35;46,1;80,0;~100;231,2;82,4;~100;231,2;41;53,9;56,1;58,5;192,0;79,3;82,8;197,5;
Storuman;Kommunal;35;46,1;80,0;~100;231,2;82,4;~100;231,2;41;53,9;56,1;58,5;192,0;79,3;82,8;197,5;
Strängnäs;Samtliga;172;44,0;82,6;87,8;243,7;84,5;89,9;246,3;219;56,0;61,2;74,9;207,8;68,0;83,2;208,9;
Strängnäs;Kommunal;91;40,6;72,5;80,2;218,3;75,9;83,9;222,8;133;59,4;47,4;60,9;188,2;56,3;72,3;190,1;
Strängnäs;Enskild;81;48,5;93,8;~100;271,2;93,8;~100;271,2;86;51,5;82,6;~100;233,2;83,5;~100;233,0;
Strömstad;Samtliga;58;42,6;70,7;79,3;235,4;70,7;79,3;235,4;78;57,4;52,6;74,4;189,1;52,6;74,4;189,1;
Strömstad;Kommunal;58;42,6;70,7;79,3;235,4;70,7;79,3;235,4;78;57,4;52,6;74,4;189,1;52,6;74,4;189,1;
Strömsund;Samtliga;56;41,8;64,3;75,0;205,9;72,0;84,0;216,6;78;58,2;55,1;61,5;170,8;66,2;73,8;197,3;
Strömsund;Kommunal;56;41,8;64,3;75,0;205,9;72,0;84,0;216,6;78;58,2;55,1;61,5;170,8;66,2;73,8;197,3;
Sundbyberg;Samtliga;144;52,7;74,3;84,0;241,4;77,0;87,1;248,0;129;47,3;65,1;76,0;203,1;72,4;84,5;211,4;
Sundbyberg;Kommunal;64;43,5;59,4;73,4;222,0;64,4;79,7;236,6;83;56,5;53,0;66,3;188,0;62,9;78,6;200,7;
Sundbyberg;Enskild;80;63,5;86,3;92,5;256,1;86,3;92,5;256,1;46;36,5;87,0;~100;227,4;87,0;~100;227,4;
Sundsvall;Samtliga;473;47,5;77,6;84,1;232,8;78,9;85,4;235,5;523;52,5;67,5;77,1;198,7;71,2;81,3;206,3;
Sundsvall;Kommunal;301;45,6;69,4;77,1;214,4;71,3;78,8;218,2;359;54,4;57,7;69,1;180,2;62,3;74,7;190,4;
Sundsvall;Enskild;172;51,2;91,9;96,5;264,2;91,9;96,5;264,2;164;48,8;89,0;94,5;237,9;89,0;94,5;237,9;
Sunne;Samtliga;69;46,0;75,4;82,6;221,2;76,5;83,8;221,2;81;54,0;60,5;70,4;196,4;75,4;87,7;196,4;
