Statistik från Skolverket, http://www.skolverket.se

Grundskolan - Slutbetyg årskurs 9, uppdelat per kön
Valt läsår: 2003/04

;;Flickor;Flickor;Flickor;Flickor;Flickor;Pojkar;Pojkar;Pojkar;Pojkar;Pojkar;
Kommun;Typ av huvudman;Antal elever;Andel (%) elever;Andel (%) uppnått kunskapskraven i alla ämnen;Andel (%) behörig nat. prog.;Genomsnittligt meritvärde (16);Antal elever;Andel (%) elever;Andel (%) uppnått kunskapskraven i alla ämnen;Andel (%) behörig nat. prog.;Genomsnittligt meritvärde (16);
Helsingborg;Samtliga;727;48,2;79,8;89,5;218,7;780;51,8;68,7;86,9;196,6;
Helsingborg;Kommunal;625;48,9;79,8;89,3;217,5;654;51,1;67,0;85,9;193,3;
Helsingborg;Enskild;102;44,7;79,4;91,2;226,2;126;55,3;77,8;92,1;213,5;
Herrljunga;Samtliga;66;48,9;68,2;84,8;206,1;69;51,1;69,6;79,7;181,6;
Herrljunga;Kommunal;66;48,9;68,2;84,8;206,1;69;51,1;69,6;79,7;181,6;
Hjo;Samtliga;55;47,4;90,9;100,0;225,5;61;52,6;77,0;91,8;203,7;
Hjo;Kommunal;55;47,4;90,9;100,0;225,5;61;52,6;77,0;91,8;203,7;
Hofors;Samtliga;61;44,9;78,7;91,8;198,0;75;55,1;89,3;~100;197,6;
Hofors;Kommunal;61;44,9;78,7;91,8;198,0;75;55,1;89,3;~100;197,6;
Huddinge;Samtliga;506;46,0;75,3;88,7;211,1;594;54,0;68,2;85,5;191,9;
Huddinge;Kommunal;465;45,9;77,4;90,3;214,4;547;54,1;69,3;86,7;195,1;
Huddinge;Enskild;41;46,6;51,2;70,7;173,3;47;53,4;55,3;72,3;155,1;
Hudiksvall;Samtliga;269;48,6;78,0;91,8;213,5;284;51,4;70,0;86,3;193,7;
Hudiksvall;Kommunal;268;49,2;78,0;91,8;213,5;277;50,8;70,0;86,3;193,7;
Hudiksvall;Enskild;..;..;.;.;.;..;..;.;.;.;
Hultsfred;Samtliga;93;46,7;78,5;88,2;219,0;106;53,3;61,3;84,9;189,0;
Hultsfred;Kommunal;93;46,7;78,5;88,2;219,0;106;53,3;61,3;84,9;189,0;
Hylte;Samtliga;70;43,5;85,7;92,9;222,4;91;56,5;54,9;78,0;180,3;
Hylte;Kommunal;70;43,5;85,7;92,9;222,4;91;56,5;54,9;78,0;180,3;
Håbo;Samtliga;129;49,6;75,2;89,9;204,4;131;50,4;62,6;81,7;172,0;
Håbo;Kommunal;129;50,2;75,2;89,9;204,4;128;49,8;61,7;81,3;169,4;
Håbo;Enskild;..;..;.;.;.;..;..;..;..;..;
Hällefors;Samtliga;46;50,0;78,3;~100;220,4;46;50,0;69,6;~100;202,9;
Hällefors;Kommunal;46;50,0;78,3;~100;220,4;46;50,0;69,6;~100;202,9;
Härjedalen;Samtliga;56;42,7;73,2;87,5;219,2;75;57,3;60,0;81,3;190,0;
Härjedalen;Kommunal;56;42,7;73,2;87,5;219,2;75;57,3;60,0;81,3;190,0;
