Statistik från Skolverket, http://www.skolverket.se

Grundskolan - Slutbetyg årskurs 9, uppdelat per kön
Valt läsår: 2017/18

;;Samtliga elever;Samtliga elever;Samtliga elever;Samtliga elever;Flickor;Flickor;Flickor;Flickor;Flickor;Pojkar;Pojkar;Pojkar;Pojkar;Pojkar;
Kommun;Typ av huvudman;Antal elever;Andel (%) uppnått kunskapskraven i alla ämnen;Andel (%) behörig yrkesprog.;Genomsnittligt meritvärde (17);Antal elever;Andel (%) elever;Andel (%) uppnått kunskapskraven i alla ämnen;Andel (%) behörig yrkesprog.;Genomsnittligt meritvärde (17);Antal elever;Andel (%) elever;Andel (%) uppnått kunskapskraven i alla ämnen;Andel (%) behörig yrkesprog.;Genomsnittligt meritvärde (17);
Gotland;Enskild;80;86,3;91,3;240,2;36;45,0;88,9;~100;250,9;44;55,0;84,1;~100;231,7;
Grums;Samtliga;77;68,8;75,3;209,7;32;41,6;68,8;78,1;218,5;45;58,4;68,9;73,3;203,4;
Grums;Kommunal;77;68,8;75,3;209,7;32;41,6;68,8;78,1;218,5;45;58,4;68,9;73,3;203,4;
Grästorp;Samtliga;56;80,4;89,3;229,5;18;32,1;88,9;~100;245,0;38;67,9;76,3;86,8;222,0;
Grästorp;Kommunal;56;80,4;89,3;229,5;18;32,1;88,9;~100;245,0;38;67,9;76,3;86,8;222,0;
Gullspång;Samtliga;72;58,3;62,5;180,0;31;43,1;67,7;71,0;191,9;41;56,9;51,2;56,1;170,4;
Gullspång;Kommunal;72;58,3;62,5;180,0;31;43,1;67,7;71,0;191,9;41;56,9;51,2;56,1;170,4;
Gällivare;Samtliga;153;76,5;82,4;229,3;73;47,7;82,2;89,0;253,4;80;52,3;71,3;76,3;207,3;
Gällivare;Kommunal;133;73,7;79,7;221,8;60;45,1;78,3;86,7;243,9;73;54,9;69,9;74,0;203,6;
Gällivare;Enskild;20;95,0;100,0;279,4;..;..;100,0;100,0;297,3;..;..;..;..;..;
Gävle;Samtliga;1 162;70,0;83,6;219,3;543;46,7;72,6;85,3;237,1;619;53,3;67,7;82,2;203,8;
Gävle;Kommunal;796;67,7;80,3;210,4;374;47,0;71,9;82,4;229,8;422;53,0;64,0;78,4;193,4;
Gävle;Enskild;366;74,9;91,0;238,2;169;46,2;74,0;91,7;253,0;197;53,8;75,6;90,4;225,7;
Göteborg;Samtliga;5 356;72,6;81,1;227,6;2 661;49,7;75,0;83,4;239,8;2 695;50,3;70,3;78,8;215,4;
Göteborg;Kommunal;3 451;66,6;75,4;215,7;1 718;49,8;70,0;78,9;230,1;1 733;50,2;63,3;71,8;201,4;
Göteborg;Enskild;1 905;83,9;91,8;249,3;943;49,5;84,5;91,8;257,5;962;50,5;83,3;91,8;241,2;
